Date_year,open,high_value,low,close,adjclose,total_volume,ticker
10/21/2021,10.06000042,10.06000042,10.02999973,10.02999973,10.02999973,9815256,XFINU
10/22/2021,10.02999973,10.04500008,10.02999973,10.02999973,10.02999973,805740,XFINU
10/25/2021,10.02999973,10.14999962,10.02999973,10.06999969,10.06999969,114683,XFINU
10/26/2021,10,10.10000038,10,10.09000015,10.09000015,3104,XFINU
10/27/2021,10.03999996,10.07999992,10.03999996,10.06000042,10.06000042,75065,XFINU
10/28/2021,10.09000015,10.09000015,10.06999969,10.06999969,10.06999969,92316,XFINU
10/29/2021,10.05000019,10.09000015,10.05000019,10.06999969,10.06999969,20216,XFINU
11/1/2021,10.09000015,10.09000015,10.09000015,10.09000015,10.09000015,332,XFINU
11/2/2021,10.06999969,10.09000015,10.06999969,10.09000015,10.09000015,436530,XFINU
11/3/2021,10.09000015,10.09000015,10.06029987,10.09000015,10.09000015,31361,XFINU
11/4/2021,10.09000015,10.09000015,10.04039955,10.07999992,10.07999992,48798,XFINU
11/5/2021,10,10.09000015,10,10.07999992,10.07999992,87164,XFINU
11/8/2021,10.05000019,10.09000015,10.05000019,10.07999992,10.07999992,31034,XFINU
11/9/2021,10.05000019,10.09000015,10.05000019,10.07999992,10.07999992,34506,XFINU
11/10/2021,10.09000015,10.09000015,10.07509995,10.07509995,10.07509995,31605,XFINU
11/11/2021,10.07509995,10.07509995,10.07509995,10.07509995,10.07509995,0,XFINU
11/12/2021,10.07999992,10.07999992,10.07999992,10.07999992,10.07999992,224,XFINU
11/15/2021,10.09000015,10.09000015,10.06999969,10.07499981,10.07499981,1952,XFINU
11/16/2021,10.09000015,10.09000015,10.07339954,10.09000015,10.09000015,5903,XFINU
11/17/2021,10.09000015,10.09000015,10.09000015,10.09000015,10.09000015,25395,XFINU
11/18/2021,10.09000015,10.09000015,10.09000015,10.09000015,10.09000015,9099,XFINU
11/19/2021,10.09000015,10.09000015,10.06000042,10.09000015,10.09000015,19600,XFINU
11/22/2021,10.09000015,10.09000015,10.09000015,10.09000015,10.09000015,179,XFINU
11/23/2021,10.10000038,10.10000038,10.10000038,10.10000038,10.10000038,15688,XFINU
11/24/2021,10.09000015,10.09000015,10.09000015,10.09000015,10.09000015,143,XFINU
11/26/2021,10.09000015,10.09000015,10.09000015,10.09000015,10.09000015,0,XFINU
11/29/2021,10.10000038,10.10000038,10.10000038,10.10000038,10.10000038,135,XFINU
11/30/2021,10.06999969,10.14999962,10.06999969,10.12010002,10.12010002,12414,XFINU
12/1/2021,10.10000038,10.10000038,10.09000015,10.10000038,10.10000038,8596,XFINU
12/2/2021,10.10000038,10.10000038,10.10000038,10.10000038,10.10000038,0,XFINU
12/3/2021,10.10000038,10.10000038,10.10000038,10.10000038,10.10000038,0,XFINU
12/6/2021,10.05000019,10.05000019,10.05000019,10.05000019,10.05000019,4500,XFINU
12/7/2021,10.05000019,10.06499958,10.05000019,10.05000019,10.05000019,11042,XFINU
12/8/2021,10.05000019,10.05000019,10.05000019,10.05000019,10.05000019,0,XFINU
12/9/2021,10.05000019,10.06000042,10.05000019,10.06000042,10.06000042,51562,XFINU
12/10/2021,10,10,10,10,10,200,XFINU
12/13/2021,10.10999966,10.10999966,10.05000019,10.05000019,10.05000019,205000,XFINU
12/14/2021,10.05000019,10.05000019,10.05000019,10.05000019,10.05000019,41075,XFINU
12/15/2021,10.05000019,10.06000042,10.02999973,10.06000042,10.06000042,13239,XFINU
12/16/2021,10.0369997,10.10000038,10.01089954,10.06499958,10.06499958,18256,XFINU
12/17/2021,10.06000042,10.06000042,10.05000019,10.06000042,10.06000042,8907,XFINU
12/20/2021,10.01000023,10.02000046,10.01000023,10.02000046,10.02000046,519,XFINU
