,Date_year,open,high_value,low,close,adjclose,total_volume,ticker
0,10/21/2021,10.06000042,10.06000042,10.02999973,10.02999973,10.02999973,9815256,XFINU
1,10/22/2021,10.02999973,10.04500008,10.02999973,10.02999973,10.02999973,805740,XFINU
2,10/25/2021,10.02999973,10.14999962,10.02999973,10.06999969,10.06999969,114683,XFINU
3,10/26/2021,10.0,10.10000038,10.0,10.09000015,10.09000015,3104,XFINU
4,10/27/2021,10.03999996,10.07999992,10.03999996,10.06000042,10.06000042,75065,XFINU
5,10/28/2021,10.09000015,10.09000015,10.06999969,10.06999969,10.06999969,92316,XFINU
6,10/29/2021,10.05000019,10.09000015,10.05000019,10.06999969,10.06999969,20216,XFINU
7,11/1/2021,10.09000015,10.09000015,10.09000015,10.09000015,10.09000015,332,XFINU
8,11/2/2021,10.06999969,10.09000015,10.06999969,10.09000015,10.09000015,436530,XFINU
9,11/3/2021,10.09000015,10.09000015,10.06029987,10.09000015,10.09000015,31361,XFINU
10,11/4/2021,10.09000015,10.09000015,10.04039955,10.07999992,10.07999992,48798,XFINU
11,11/5/2021,10.0,10.09000015,10.0,10.07999992,10.07999992,87164,XFINU
12,11/8/2021,10.05000019,10.09000015,10.05000019,10.07999992,10.07999992,31034,XFINU
13,11/9/2021,10.05000019,10.09000015,10.05000019,10.07999992,10.07999992,34506,XFINU
14,11/10/2021,10.09000015,10.09000015,10.07509995,10.07509995,10.07509995,31605,XFINU
15,11/11/2021,10.07509995,10.07509995,10.07509995,10.07509995,10.07509995,0,XFINU
16,11/12/2021,10.07999992,10.07999992,10.07999992,10.07999992,10.07999992,224,XFINU
17,11/15/2021,10.09000015,10.09000015,10.06999969,10.07499981,10.07499981,1952,XFINU
18,11/16/2021,10.09000015,10.09000015,10.07339954,10.09000015,10.09000015,5903,XFINU
19,11/17/2021,10.09000015,10.09000015,10.09000015,10.09000015,10.09000015,25395,XFINU
20,11/18/2021,10.09000015,10.09000015,10.09000015,10.09000015,10.09000015,9099,XFINU
21,11/19/2021,10.09000015,10.09000015,10.06000042,10.09000015,10.09000015,19600,XFINU
22,11/22/2021,10.09000015,10.09000015,10.09000015,10.09000015,10.09000015,179,XFINU
23,11/23/2021,10.10000038,10.10000038,10.10000038,10.10000038,10.10000038,15688,XFINU
24,11/24/2021,10.09000015,10.09000015,10.09000015,10.09000015,10.09000015,143,XFINU
25,11/26/2021,10.09000015,10.09000015,10.09000015,10.09000015,10.09000015,0,XFINU
26,11/29/2021,10.10000038,10.10000038,10.10000038,10.10000038,10.10000038,135,XFINU
27,11/30/2021,10.06999969,10.14999962,10.06999969,10.12010002,10.12010002,12414,XFINU
28,12/1/2021,10.10000038,10.10000038,10.09000015,10.10000038,10.10000038,8596,XFINU
29,12/2/2021,10.10000038,10.10000038,10.10000038,10.10000038,10.10000038,0,XFINU
30,12/3/2021,10.10000038,10.10000038,10.10000038,10.10000038,10.10000038,0,XFINU
31,12/6/2021,10.05000019,10.05000019,10.05000019,10.05000019,10.05000019,4500,XFINU
32,12/7/2021,10.05000019,10.06499958,10.05000019,10.05000019,10.05000019,11042,XFINU
33,12/8/2021,10.05000019,10.05000019,10.05000019,10.05000019,10.05000019,0,XFINU
34,12/9/2021,10.05000019,10.06000042,10.05000019,10.06000042,10.06000042,51562,XFINU
35,12/10/2021,10.0,10.0,10.0,10.0,10.0,200,XFINU
36,12/13/2021,10.10999966,10.10999966,10.05000019,10.05000019,10.05000019,205000,XFINU
37,12/14/2021,10.05000019,10.05000019,10.05000019,10.05000019,10.05000019,41075,XFINU
38,12/15/2021,10.05000019,10.06000042,10.02999973,10.06000042,10.06000042,13239,XFINU
39,12/16/2021,10.0369997,10.10000038,10.01089954,10.06499958,10.06499958,18256,XFINU
40,12/17/2021,10.06000042,10.06000042,10.05000019,10.06000042,10.06000042,8907,XFINU
41,12/20/2021,10.01000023,10.02000046,10.01000023,10.02000046,10.02000046,519,XFINU
42,12/21/2021,10.02999973,10.02999973,10.02999973,10.02999973,10.02999973,125,XFINU
43,12/22/2021,11.02999973,11.02999973,10.14000034,10.14000034,10.14000034,4979,XFINU
44,12/23/2021,10.5,10.5,10.18999958,10.19999981,10.19999981,1938,XFINU
45,12/27/2021,10.19999981,10.19999981,10.19999981,10.19999981,10.19999981,0,XFINU
46,12/28/2021,10.19999981,10.19999981,10.14999962,10.14999962,10.14999962,1794,XFINU
47,12/29/2021,10.14999962,10.14999962,10.14999962,10.14999962,10.14999962,0,XFINU
48,12/30/2021,10.14999962,10.14999962,10.14999962,10.14999962,10.14999962,153,XFINU
49,12/31/2021,10.14999962,10.14999962,10.14999962,10.14999962,10.14999962,0,XFINU
50,1/3/2022,10.14999962,10.14999962,10.14999962,10.14999962,10.14999962,0,XFINU
51,1/4/2022,10.09500027,10.14000034,10.09500027,10.14000034,10.14000034,1492,XFINU
52,1/5/2022,10.14000034,10.14000034,10.14000034,10.14000034,10.14000034,8689,XFINU
53,1/6/2022,11.01000023,11.01000023,10.11999989,10.13000011,10.13000011,17852,XFINU
54,1/7/2022,10.17000008,10.17000008,10.17000008,10.17000008,10.17000008,300,XFINU
55,1/10/2022,10.14999962,10.14999962,10.11999989,10.11999989,10.11999989,430,XFINU
56,1/11/2022,10.11999989,10.11999989,10.11999989,10.11999989,10.11999989,0,XFINU
57,1/12/2022,10.14999962,10.14999962,10.14999962,10.14999962,10.14999962,4943,XFINU
58,1/13/2022,10.21000004,10.21000004,10.21000004,10.21000004,10.21000004,125,XFINU
59,1/14/2022,10.21000004,10.21000004,10.21000004,10.21000004,10.21000004,0,XFINU
60,1/18/2022,10.21000004,10.21000004,10.21000004,10.21000004,10.21000004,0,XFINU
61,1/19/2022,10.11999989,10.11999989,10.11999989,10.11999989,10.11999989,234,XFINU
62,1/20/2022,10.11999989,10.11999989,10.11999989,10.11999989,10.11999989,792,XFINU
63,1/21/2022,10.11999989,10.11999989,10.11999989,10.11999989,10.11999989,0,XFINU
64,1/24/2022,10.11999989,10.11999989,10.11999989,10.11999989,10.11999989,0,XFINU
65,1/25/2022,10.11999989,10.11999989,10.11999989,10.11999989,10.11999989,0,XFINU
66,1/26/2022,10.11999989,10.11999989,10.11999989,10.11999989,10.11999989,0,XFINU
67,1/27/2022,10.02999973,10.02999973,10.02999973,10.02999973,10.02999973,200,XFINU
68,1/28/2022,10.02999973,10.02999973,10.02999973,10.02999973,10.02999973,0,XFINU
69,1/31/2022,10.10000038,10.10000038,10.05000019,10.05000019,10.05000019,3601,XFINU
70,2/1/2022,10.05000019,10.05000019,10.05000019,10.05000019,10.05000019,0,XFINU
71,2/2/2022,10.05000019,10.05000019,10.05000019,10.05000019,10.05000019,400,XFINU
72,2/3/2022,10.05000019,10.05000019,10.05000019,10.05000019,10.05000019,0,XFINU
73,2/4/2022,10.06999969,10.07999992,10.06999969,10.06999969,10.06999969,64705,XFINU
74,2/7/2022,10.06999969,10.06999969,10.06999969,10.06999969,10.06999969,0,XFINU
75,2/8/2022,10.06999969,10.06999969,10.06999969,10.06999969,10.06999969,0,XFINU
76,2/9/2022,10.06999969,10.06999969,10.06999969,10.06999969,10.06999969,0,XFINU
77,2/10/2022,10.10000038,10.10000038,10.07999992,10.07999992,10.07999992,782,XFINU
78,2/11/2022,10.07999992,10.07999992,10.07999992,10.07999992,10.07999992,0,XFINU
79,2/14/2022,10.07999992,10.07999992,10.07999992,10.07999992,10.07999992,0,XFINU
80,2/15/2022,10.06000042,10.06000042,10.02999973,10.03999996,10.03999996,10000,XFINU
81,2/16/2022,10.06000042,10.06000042,10.06000042,10.06000042,10.06000042,3090,XFINU
82,2/17/2022,10.06499958,10.06499958,10.05000019,10.05000019,10.05000019,25000,XFINU
83,2/18/2022,10.06999969,10.06999969,10.06980038,10.06980038,10.06980038,2683,XFINU
84,2/22/2022,10.07999992,10.07999992,10.07999992,10.07999992,10.07999992,20430,XFINU
85,2/23/2022,10.07999992,10.07999992,10.07999992,10.07999992,10.07999992,0,XFINU
86,2/24/2022,10.06999969,10.06999969,10.06999969,10.06999969,10.06999969,300,XFINU
87,2/25/2022,10.06000042,10.07009983,10.06000042,10.07009983,10.07009983,93031,XFINU
88,2/28/2022,10.06999969,10.08679962,10.06999969,10.06999969,10.06999969,1184,XFINU
89,3/1/2022,10.07999992,10.14000034,10.07999992,10.14000034,10.14000034,19684,XFINU
90,3/2/2022,10.14000034,10.14000034,10.14000034,10.14000034,10.14000034,0,XFINU
91,3/3/2022,10.14000034,10.14000034,10.14000034,10.14000034,10.14000034,0,XFINU
92,3/4/2022,10.14000034,10.14000034,10.14000034,10.14000034,10.14000034,0,XFINU
93,3/7/2022,10.13000011,10.13000011,10.13000011,10.13000011,10.13000011,1790,XFINU
94,3/8/2022,10.14000034,10.14000034,10.14000034,10.14000034,10.14000034,147,XFINU
95,3/9/2022,10.11200047,10.11200047,10.10039997,10.10039997,10.10039997,1000,XFINU
96,3/10/2022,10.10039997,10.10039997,10.10039997,10.10039997,10.10039997,0,XFINU
97,3/11/2022,10.10000038,10.10000038,10.10000038,10.10000038,10.10000038,76841,XFINU
98,3/14/2022,10.10000038,10.10000038,10.10000038,10.10000038,10.10000038,0,XFINU
99,3/15/2022,10.03999996,10.03999996,10.03999996,10.03999996,10.03999996,110,XFINU
100,3/16/2022,10.03999996,10.03999996,10.03999996,10.03999996,10.03999996,0,XFINU
101,3/17/2022,10.03999996,10.03999996,10.03999996,10.03999996,10.03999996,0,XFINU
102,3/18/2022,10.03999996,10.03999996,10.03999996,10.03999996,10.03999996,0,XFINU
103,3/21/2022,10.03999996,10.03999996,10.03999996,10.03999996,10.03999996,0,XFINU
104,3/22/2022,10.10000038,10.14999962,10.09000015,10.09000015,10.09000015,34255,XFINU
105,3/23/2022,10.09000015,10.09000015,10.09000015,10.09000015,10.09000015,0,XFINU
106,3/24/2022,10.07999992,10.07999992,10.07999992,10.07999992,10.07999992,203,XFINU
107,3/25/2022,10.07999992,10.07999992,10.07999992,10.07999992,10.07999992,0,XFINU
